 Bazy danych                                                                                                        |      1 | testPka
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221056
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221051
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233209
 Algorytmiczna Teoria Gier                                                                                          |      2 | 209141
 Compiler Construction                                                                                              |      3 | 209141
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 209141
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221113
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233149
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209173
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 241737
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209116
 Compiler Construction                                                                                              |      3 | 209116
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241772
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241757
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241667
 Algorytmiczna Teoria Gier                                                                                          |      2 | 241674
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233229
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221134
 Compiler Construction                                                                                              |      3 | 200066
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200061
 Compiler Construction                                                                                              |      3 | 209171
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209171
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241687
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209161
 Algorytmiczna Teoria Gier                                                                                          |      2 | 241728
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 241603
 Compiler Construction                                                                                              |      3 | 233217
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233217
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241765
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209096
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209122
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209122
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233152
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241592
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241770
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241725
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221131
 Compiler Construction                                                                                              |      1 | 221087
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 221087
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 241610
 Compiler Construction                                                                                              |      2 | 209123
 Compiler Construction                                                                                              |      2 | 209109
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233183
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209111
 Algorytmiczna Teoria Gier                                                                                          |      1 | 200023
 Compiler Construction                                                                                              |      2 | 200023
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200023
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233176
 Compiler Construction                                                                                              |      1 | 208933
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241607
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209126
 Compiler Construction                                                                                              |      2 | 209067
 Algorytmiczna Teoria Gier                                                                                          |      1 | 169845
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 169845
 Algorytmiczna Teoria Gier                                                                                          |      1 | 233169
 Compiler Construction                                                                                              |      2 | 233169
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241620
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241593
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 233221
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221043
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221140
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200047
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233174
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241694
 Compiler Construction                                                                                              |      1 | 220993
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221121
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241771
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221099
 Algorytmiczna Teoria Gier                                                                                          |      3 | 200043
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209176
 Compiler Construction                                                                                              |      3 | 209166
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 208915
 Compiler Construction                                                                                              |      3 | 221025
 Izomorfizm Curry'ego-Howarda                                                                                       |      2 | 221025
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221025
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233122
 Compiler Construction                                                                                              |      2 | 233122
 Compiler Construction                                                                                              |      1 | 241653
 Izomorfizm Curry'ego-Howarda                                                                                       |      1 | 241653
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233120
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241747
 Compiler Construction                                                                                              |      3 | 221100
 Algorytmiczna Teoria Gier                                                                                          |      2 | 186816
 Compiler Construction                                                                                              |      2 | 186816
 Izomorfizm Curry'ego-Howarda                                                                                       |      2 | 186816
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200130
 Compiler Construction                                                                                              |      3 | 233210
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209139
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241700
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 209137
 Compiler Construction                                                                                              |      3 | 221062
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221060
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233129
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 233173
 Compiler Construction                                                                                              |      3 | 209103
 Algorytmiczna Teoria Gier                                                                                          |      2 | 221036
 Compiler Construction                                                                                              |      3 | 233140
 Algorytmiczna Teoria Gier                                                                                          |      3 | 200029
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233196
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233182
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 226175
 Compiler Construction                                                                                              |      3 | 209163
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241630
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 241630
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233193
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 233193
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241735
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221026
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221075
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221030
 Compiler Construction                                                                                              |      3 | 221031
 Compiler Construction                                                                                              |      2 | 209078
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 209078
 Izomorfizm Curry'ego-Howarda                                                                                       |      1 | 209153
 Compiler Construction                                                                                              |      3 | 209083
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221136
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221185
 Compiler Construction                                                                                              |      3 | 221185
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221185
 Compiler Construction                                                                                              |      2 | 221016
 Compiler Construction                                                                                              |      3 | 221143
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 221055
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233164
 Compiler Construction                                                                                              |      3 | 241768
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241642
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221001
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209135
 Compiler Construction                                                                                              |      2 | 209135
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209135
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241704
 Algorytmiczna Teoria Gier                                                                                          |      1 | 169842
 Compiler Construction                                                                                              |      1 | 169842
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 169842
 Algorytmiczna Teoria Gier                                                                                          |      1 | 209145
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241699
 Compiler Construction                                                                                              |      3 | 221291
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 221291
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 186764
 Algorytmiczna Teoria Gier                                                                                          |      1 | 221095
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 221122
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209179
 Compiler Construction                                                                                              |      3 | 233150
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233150
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 241643
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233184
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233222
 Algorytmiczna Teoria Gier                                                                                          |      3 | 229277
 Compiler Construction                                                                                              |      3 | 229277
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 229277
 Algorytmiczna Teoria Gier                                                                                          |      3 | 208934
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 208934
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221144
 Compiler Construction                                                                                              |      2 | 241632
 Compiler Construction                                                                                              |      3 | 200096
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 220996
 Izomorfizm Curry'ego-Howarda                                                                                       |      2 | 241717
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 241717
 Compiler Construction                                                                                              |      3 | 221050
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233238
 Compiler Construction                                                                                              |      3 | 209068
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 241746
 Compiler Construction                                                                                              |      2 | 170697
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 170697
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221056
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221051
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233209
 Algorytmiczna Teoria Gier                                                                                          |      2 | 209141
 Compiler Construction                                                                                              |      3 | 209141
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 209141
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221113
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233149
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209173
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221052
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 241737
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221034
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209116
 Compiler Construction                                                                                              |      3 | 209116
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241772
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209115
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233151
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241757
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241667
 Algorytmiczna Teoria Gier                                                                                          |      2 | 241674
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233229
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221134
 Compiler Construction                                                                                              |      3 | 200066
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200061
 Compiler Construction                                                                                              |      3 | 209171
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209171
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241687
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241614
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209161
 Algorytmiczna Teoria Gier                                                                                          |      2 | 241728
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 241603
 Compiler Construction                                                                                              |      3 | 233217
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233217
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241765
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209096
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209122
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209122
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233152
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241592
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241770
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241725
 Algorytmiczna Teoria Gier                                                                                          |      3 | 221131
 Compiler Construction                                                                                              |      1 | 221087
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 221087
 Izomorfizm Curry'ego-Howarda                                                                                       |      3 | 241610
 Compiler Construction                                                                                              |      2 | 209123
 Compiler Construction                                                                                              |      2 | 209109
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241708
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 233183
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 209111
 Algorytmiczna Teoria Gier                                                                                          |      1 | 200023
 Compiler Construction                                                                                              |      2 | 200023
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 200023
 Algorytmiczna Teoria Gier                                                                                          |      2 | 233176
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 221009
 Compiler Construction                                                                                              |      1 | 208933
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241607
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209126
 Compiler Construction                                                                                              |      2 | 209067
 Algorytmiczna Teoria Gier                                                                                          |      1 | 169845
 Praktyczne aspekty sieci komputerowych                                                                             |      1 | 169845
 Algorytmiczna Teoria Gier                                                                                          |      3 | 233156
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 233156
 Algorytmiczna Teoria Gier                                                                                          |      1 | 233169
 Compiler Construction                                                                                              |      2 | 233169
 Algorytmiczna Teoria Gier                                                                                          |      3 | 241620
 Algorytmiczna Teoria Gier                                                                                          |      1 | 241593
 Algorytmiczna Teoria Gier                                                                                          |      3 | 209167
 Compiler Construction                                                                                              |      3 | 209167
 Praktyczne aspekty sieci komputerowych                                                                             |      2 | 233221
 Praktyczne aspekty sieci komputerowych                                                                             |      3 | 221043
